rank,cellID,aspectRatio,R2
1,126,2.99999999999998,0.754537273246116
2,637,2.99999999999998,0.643558438600081
3,646,2.99999999999998,0.666874593776845
4,775,2.99999999999998,0.560301438928337
5,797,2.99999999999998,0.772299867878044
6,1851,2.99999999999998,0.45403579357774
7,244,2.99999999999998,0.52865691787002
8,890,2.99999999999998,0.784791907007153
9,621,2.99999999999996,0.841760521357704
10,1440,2.99999999999996,0.494068055923299
11,772,2.99999999999986,0.788272123951736
12,378,2.99999999999964,0.651319763801219
13,771,2.99999999999931,0.834316759488649
14,622,2.99999999999839,0.708757939328119
15,1581,2.9999999999982,0.49167443696904
16,1832,2.99999999530673,0.69044574888084
17,479,2.96572197922112,0.780682080868679
18,748,2.94725046994221,0.568691725918354
19,1252,2.88338802526911,0.608262369325618
20,1612,2.88010790741846,0.817480275030363
21,1821,2.83302864180434,0.606639422976541
22,1641,2.73823073417704,0.641714223953975
23,1645,2.70050313350636,0.613114719246435
24,1235,2.63732314757721,0.863077322342676
25,468,2.55915057873271,0.877323487974363
26,1095,2.53784314047105,0.792682038110363
27,743,2.52349469040575,0.865647012118252
28,1818,2.4970774104844,0.725093904535277
29,1599,2.46686448662565,0.80974958973017
30,1078,2.4220224824205,0.853546551138373
31,766,2.37831516672235,0.638000664449743
32,1255,2.3731983411547,0.701108820763394
33,1620,2.32875027582358,0.59786879790656
34,1820,2.32271919507798,0.0776547939886643
35,1587,2.28249680437693,0.823070849340552
36,345,2.27830528701455,0.491682970773651
37,1613,2.20392132370982,0.34546028018158
38,798,2.19721068614146,0.747558073749369
39,915,2.14478718841029,0.497552050195048
40,1815,2.14257728933196,0.910467413473732
41,1588,2.11977520562645,0.79028720244959
42,137,2.11971802162509,0.642527432678898
43,445,2.11259551618763,0.711407828018257
44,801,2.10814776363911,0.809410264946788
45,1822,2.10690698273905,0.768570717298611
46,81,2.09852022247794,0.768817634113053
47,914,2.08387899215482,0.311709578952945
48,1792,2.06501614576256,0.798000706792476
49,133,2.0573380539817,0.821531382197958
50,614,2.03976692636673,0.648237141743605
51,1564,2.01432497819777,0.539145111346796
52,1565,2.01269371301444,0.757399441970903
53,800,1.99589419327869,0.845010503308325
54,1601,1.97468446677432,0.835240169961267
55,71,1.90936470594382,0.574524239564588
56,139,1.90329897366459,0.583736000720996
57,1322,1.89205026228011,0.314251666403172
58,1546,1.8817391764837,0.743689931687802
59,1422,1.87760606041622,0.86851280747516
60,600,1.85838836389918,0.697075027177839
61,1855,1.76994766283563,0.865681433205296
62,1611,1.75511900047342,0.895920876955939
63,1596,1.72319338354182,0.613900567473969
64,362,1.71237771660212,0.370839671502081
65,127,1.70929579939102,0.582432872482748
66,457,1.69680250385901,0.856725935851681
67,115,1.69384142704089,0.678519537900836
68,123,1.66981035954568,0.713723877720727
69,94,1.66583816571071,0.882284209518084
70,1621,1.63594141169268,0.899550008406029
71,1545,1.61280312450927,0.590476773503897
72,1861,1.58246821048112,0.815822973200044
73,1341,1.57061444696396,0.853713419663825
74,1532,1.52918680178164,0.786821899528092
75,1622,1.51602746067568,0.915607854749852
76,1330,1.49485797151515,0.673249984440485
77,1510,1.4666192409093,0.573490118746606
78,1605,1.45459046637706,0.702028589926393
79,131,1.45075771145969,0.905065008341678
80,322,1.44598946850382,0.728108409485142
81,1813,1.43645785133422,0.567487574556936
82,1571,1.39696548454084,0.776623939146456
83,1348,1.33183693769095,0.728703796610221
84,1808,1.31008259390976,0.875734296518639
85,60,1.30173363223832,0.855373047099906
86,617,1.29287091500492,0.858193764506544
87,1797,1.28795485686196,0.697867513724368
88,469,1.28095251597492,0.829886110216543
89,135,1.26232840654764,0.825460201076989
90,1610,1.24316329417323,0.797456208979208
91,1862,1.23262402530839,0.775217796012332
92,648,1.22578887723069,0.706234644909093
93,1438,1.22553749855071,0.773123005427415
94,778,1.21430474667294,0.671251648766098
95,125,1.21315947559912,0.748834379216599
96,252,1.2082246452859,0.726413990902035
97,375,1.20252902516565,0.671821504448351
98,1083,1.19480390095854,0.775813687567144
99,1863,1.18842226396643,0.689730679373359
100,776,1.17133403618158,0.855775272403533
101,132,1.17014496437833,0.953152658280934
102,1597,1.16103882805906,0.819267977181139
103,599,1.15746460614039,0.920868387485386
104,1517,1.15725222945289,0.898194251333717
105,230,1.15152641531542,0.936295784291285
106,329,1.14656337689766,0.806109750918886
107,1606,1.14367276957836,0.692448483485729
108,1563,1.14110936564992,0.810958315457473
109,95,1.14110212499823,0.80710960826847
110,1841,1.12318885664836,0.711860632247171
111,245,1.11625824308254,0.795411166109371
112,1834,1.11246726831559,0.714858207336965
113,1431,1.10810871051276,0.643972160227188
114,1080,1.10798121180235,0.608935474054064
115,1840,1.10505953928469,0.655208638739446
116,793,1.08996703383898,0.3577375195313
117,1826,1.08743039816112,0.930059544588937
118,363,1.08705736774555,0.829728086773737
119,232,1.07981501690401,0.54266136169745
120,1618,1.07699870378045,0.491412095585431
121,1566,1.07660547436431,0.832664080958561
122,1644,1.07158698722469,0.567605786758496
123,1086,1.06672904289006,0.590562003580411
124,1443,1.06213803247657,0.773432574092411
125,1816,1.06211613351252,0.84855323090809
126,1240,1.06128362931226,0.731133743798806
127,353,1.05939072071018,0.888725856039982
128,1856,1.05745847873982,0.814897561498347
129,1810,1.04937483553753,0.592587491113597
130,1865,1.04932436779007,0.610438896223189
131,1859,1.04181841753237,0.684576217975423
132,654,1.01765493547743,0.668839528543459
133,1842,1.0132151026275,0.523709223960177
134,328,0.978789299627268,0.711393155884118
135,913,0.976371845643743,0.72317305840126
136,358,0.972443431047477,0.883365824427395
137,130,0.969754783875927,0.708022249083076
138,118,0.961533346955745,0.912901934599888
139,1619,0.950223468844114,0.822553966198286
140,1635,0.935933646476844,0.717644692337638
141,808,0.930962522980827,0.782004126522052
142,129,0.925098173755759,0.706060140140431
143,1646,0.91268465266272,0.801750114319044
144,615,0.91193597350571,0.883401113779903
145,1608,0.909355670601255,0.288402904092923
146,1852,0.906360577836742,0.5773484427065
147,1450,0.890220032121579,0.827849463288287
148,1642,0.866191125934253,0.642856240293507
149,231,0.858800977825585,0.645592278031122
150,1805,0.856717471577921,0.752063223122941
151,1455,0.854225299476033,0.544886345255611
152,107,0.853368361895993,0.880217766716111
153,744,0.847890063246049,0.705678050768826
154,331,0.838119990339748,0.870746339585821
155,657,0.821561839226801,0.857513679371482
156,919,0.804606594600773,0.790761420500775
157,1015,0.800778786262945,0.898192119682723
158,664,0.799791213510011,0.809374743098143
159,1828,0.798846637562398,0.703899247500261
160,1845,0.795671536630629,0.765698501171477
161,121,0.792821279714818,0.822925833041651
162,1248,0.788910678022528,0.730139643147926
163,779,0.780555945617343,0.747754348735846
164,446,0.775758313402579,0.781091303581031
165,1353,0.77449910891019,0.618565910685775
166,1584,0.76905635364827,0.616457846896067
167,1672,0.749817944661129,0.765657977798864
168,93,0.742387332479043,0.694513469290273
169,1616,0.737499384183823,0.662340434398358
170,1590,0.728647048489335,0.843830105184862
171,1614,0.719238866563738,0.683837724253391
172,1833,0.716594451614587,0.809385875844844
173,1589,0.694364697712114,0.843280778061053
174,1580,0.679860432982037,0.817625681770047
175,1860,0.675625841246089,0.57100377692244
176,1328,0.672070290135935,0.644959997008674
177,870,0.669965435248102,0.754019582398446
178,659,0.663609520832401,0.771774392549694
179,250,0.650606777145589,0.842671862766584
180,1453,0.637022275239163,0.360174256876284
181,632,0.631226983180688,0.775086032508243
182,1593,0.625377590028506,0.819442205891669
183,1329,0.622054828552322,0.697577592737506
184,647,0.616353897046065,0.66618116157972
185,1602,0.608277154636827,0.75876293806582
186,911,0.606014956581691,0.497645550585594
187,1836,0.599941669939317,0.842735068655469
188,1592,0.593775281113407,0.714409676012473
189,1827,0.586606491292546,0.859376417930874
190,649,0.586227264495397,0.782552405876868
191,68,0.584513507752912,0.838195530629719
192,1850,0.574985361230158,0.766267026092782
193,140,0.556540761945734,0.675819238143047
194,1762,0.556115957374915,0.510167342150103
195,1430,0.555757686962489,0.724879754057761
196,912,0.54890170205656,0.737425538512026
197,629,0.548173249665449,0.686205533806873
198,1575,0.538189291722379,0.325403556679412
199,1623,0.53743225633318,0.569197897864365
200,1847,0.532702595214412,0.714287203316437
201,1839,0.531100311291181,0.708987026920793
202,1347,0.528100745065243,0.692385338505876
203,461,0.497957956699066,0.744159834370322
204,470,0.48871397070877,0.778005989031601
205,1334,0.488472680627002,0.7340824333831
206,1831,0.405083058542831,0.564873009411646
207,792,0.33614658336268,0.579530652190241
208,783,0.300271324131753,0.591930905072742
209,462,0.300000000000031,0.243900365876188
